epoch,G,D,cycle,id
1520,0.35,0.12,0.07,0.1
1521,0.35,0.12,0.07,0.1
1522,0.35,0.12,0.07,0.1
1523,0.35,0.12,0.07,0.1
1524,0.35,0.12,0.07,0.1
1525,0.35,0.12,0.07,0.1
1526,0.35,0.12,0.07,0.1
1527,0.35,0.12,0.07,0.1
1528,0.35,0.12,0.07,0.1
1529,0.35,0.12,0.07,0.1
1530,0.35,0.12,0.07,0.1
1531,0.35,0.12,0.07,0.1
1532,0.35,0.12,0.07,0.1
1533,0.35,0.12,0.07,0.1
1534,0.35,0.12,0.07,0.1
1535,0.35,0.12,0.07,0.1
1536,0.35,0.12,0.07,0.1
1537,0.35,0.12,0.07,0.1
1538,0.35,0.12,0.07,0.1
1539,0.35,0.12,0.07,0.1
1540,0.35,0.12,0.07,0.1
1541,0.35,0.12,0.07,0.1
1542,0.35,0.12,0.07,0.1
1543,0.35,0.12,0.07,0.1
1544,0.35,0.12,0.07,0.1
1545,0.35,0.12,0.07,0.1
1546,0.35,0.12,0.07,0.1
1547,0.35,0.12,0.07,0.1
1548,0.35,0.12,0.07,0.1
1549,0.35,0.12,0.07,0.1
1550,0.35,0.12,0.07,0.1
1551,0.35,0.12,0.07,0.1
1552,0.35,0.12,0.07,0.1
1553,0.35,0.12,0.07,0.1
1554,0.35,0.12,0.07,0.1
1555,0.35,0.12,0.07,0.1
1556,0.35,0.12,0.07,0.1
1557,0.35,0.12,0.07,0.1
1558,0.35,0.12,0.07,0.1
1559,0.35,0.12,0.07,0.1
1560,0.35,0.12,0.07,0.1
1561,0.35,0.12,0.07,0.1
1562,0.35,0.12,0.07,0.1
1563,0.35,0.12,0.07,0.1
1564,0.35,0.12,0.07,0.1
1565,0.35,0.12,0.07,0.1
1566,0.35,0.12,0.07,0.1
1567,0.35,0.12,0.07,0.1
1568,0.35,0.12,0.07,0.1
1569,0.35,0.12,0.07,0.1
1570,0.35,0.12,0.07,0.1
1571,0.35,0.12,0.07,0.1
1572,0.35,0.12,0.07,0.1
1573,0.35,0.12,0.07,0.1
1574,0.35,0.12,0.07,0.1
1575,0.35,0.12,0.07,0.1
1576,0.35,0.12,0.07,0.1
1577,0.35,0.12,0.07,0.1
1578,0.35,0.12,0.07,0.1
1579,0.35,0.12,0.07,0.1
1580,0.35,0.12,0.07,0.1
1581,0.35,0.12,0.07,0.1
1582,0.35,0.12,0.07,0.1
1583,0.35,0.12,0.07,0.1
1584,0.35,0.12,0.07,0.1
1585,0.35,0.12,0.07,0.1
1586,0.35,0.12,0.07,0.1
1587,0.35,0.12,0.07,0.1
1588,0.35,0.12,0.07,0.1
1589,0.35,0.12,0.07,0.1
1590,0.35,0.12,0.07,0.1
1591,0.35,0.12,0.07,0.1
1592,0.35,0.12,0.07,0.1
1593,0.35,0.12,0.07,0.1
1594,0.35,0.12,0.07,0.1
1595,0.35,0.12,0.07,0.1
1596,0.35,0.12,0.07,0.1
1597,0.35,0.12,0.07,0.1
1598,0.35,0.12,0.07,0.1
1599,0.35,0.12,0.07,0.1
1600,0.35,0.12,0.07,0.1
1601,0.35,0.12,0.07,0.1
1602,0.35,0.12,0.07,0.1
1603,0.35,0.12,0.07,0.1
1604,0.35,0.12,0.07,0.1
1605,0.35,0.12,0.07,0.1
1606,0.35,0.12,0.07,0.1
1607,0.35,0.12,0.07,0.1
1608,0.35,0.12,0.07,0.1
1609,0.35,0.12,0.07,0.1
1610,0.35,0.12,0.07,0.1
1611,0.35,0.12,0.07,0.1
1612,0.35,0.12,0.07,0.1
1613,0.35,0.12,0.07,0.1
1614,0.35,0.12,0.07,0.1
1615,0.35,0.12,0.07,0.1
1616,0.35,0.12,0.07,0.1
1617,0.35,0.12,0.07,0.1
1618,0.35,0.12,0.07,0.1
1619,0.35,0.12,0.07,0.1
1620,0.35,0.12,0.07,0.1
1621,0.35,0.12,0.07,0.1
1622,0.35,0.12,0.07,0.1
1623,0.35,0.12,0.07,0.1
1624,0.35,0.12,0.07,0.1
1625,0.35,0.12,0.07,0.1
1626,0.35,0.12,0.07,0.1
1627,0.35,0.12,0.07,0.1
1628,0.35,0.12,0.07,0.1
1629,0.35,0.12,0.07,0.1
1630,0.35,0.12,0.07,0.1
1631,0.35,0.12,0.07,0.1
1632,0.35,0.12,0.07,0.1
1633,0.35,0.12,0.07,0.1
1634,0.35,0.12,0.07,0.1
1635,0.35,0.12,0.07,0.1
1636,0.35,0.12,0.07,0.1
1637,0.35,0.12,0.07,0.1
1638,0.35,0.12,0.07,0.1
1639,0.35,0.12,0.07,0.1
1640,0.35,0.12,0.07,0.1
1641,0.35,0.12,0.07,0.1
1642,0.35,0.12,0.07,0.1
1643,0.35,0.12,0.07,0.1
1644,0.35,0.12,0.07,0.1
1645,0.35,0.12,0.07,0.1
1646,0.35,0.12,0.07,0.1
1647,0.35,0.12,0.07,0.1
1648,0.35,0.12,0.07,0.1
1649,0.35,0.12,0.07,0.1
1650,0.35,0.12,0.07,0.1
1651,0.35,0.12,0.07,0.1
1652,0.35,0.12,0.07,0.1
1653,0.35,0.12,0.07,0.1
1654,0.35,0.12,0.07,0.1
1655,0.35,0.12,0.07,0.1
1656,0.35,0.12,0.07,0.1
1657,0.35,0.12,0.07,0.1
1658,0.35,0.12,0.07,0.1
1659,0.35,0.12,0.07,0.1
1660,0.35,0.12,0.07,0.1
1661,0.35,0.12,0.07,0.1
1662,0.35,0.12,0.07,0.1
1663,0.35,0.12,0.07,0.1
1664,0.35,0.12,0.07,0.1
1665,0.35,0.12,0.07,0.1
1666,0.35,0.12,0.07,0.1
1667,0.35,0.12,0.07,0.1
1668,0.35,0.12,0.07,0.1
1669,0.35,0.12,0.07,0.1
1670,0.35,0.12,0.07,0.1
1671,0.35,0.12,0.07,0.1
1672,0.35,0.12,0.07,0.1
1673,0.35,0.12,0.07,0.1
1674,0.35,0.12,0.07,0.1
1675,0.35,0.12,0.07,0.1
1676,0.35,0.12,0.07,0.1
1677,0.35,0.12,0.07,0.1
1678,0.35,0.12,0.07,0.1
1679,0.35,0.12,0.07,0.1
1680,0.35,0.12,0.07,0.1
1681,0.35,0.12,0.07,0.1
1682,0.35,0.12,0.07,0.1
1683,0.35,0.12,0.07,0.1
1684,0.35,0.12,0.07,0.1
1685,0.35,0.12,0.07,0.1
1686,0.35,0.12,0.07,0.1
1687,0.35,0.12,0.07,0.1
1688,0.35,0.12,0.07,0.1
1689,0.35,0.12,0.07,0.1
1690,0.35,0.12,0.07,0.1
1691,0.35,0.12,0.07,0.1
1692,0.35,0.12,0.07,0.1
1693,0.35,0.12,0.07,0.1
1694,0.35,0.12,0.07,0.1
1695,0.35,0.12,0.07,0.1
1696,0.35,0.12,0.07,0.1
1697,0.35,0.12,0.07,0.1
1698,0.35,0.12,0.07,0.1
1699,0.35,0.12,0.07,0.1
1700,0.35,0.12,0.07,0.1
1701,0.35,0.12,0.07,0.1
1702,0.35,0.12,0.07,0.1
1703,0.35,0.12,0.07,0.1
1704,0.35,0.12,0.07,0.1
1705,0.35,0.12,0.07,0.1
1706,0.35,0.12,0.07,0.1
1707,0.35,0.12,0.07,0.1
1708,0.35,0.12,0.07,0.1
1709,0.35,0.12,0.07,0.1
1710,0.35,0.12,0.07,0.1
1711,0.35,0.12,0.07,0.1
1712,0.35,0.12,0.07,0.1
1713,0.35,0.12,0.07,0.1
1714,0.35,0.12,0.07,0.1
1715,0.35,0.12,0.07,0.1
1716,0.35,0.12,0.07,0.1
1717,0.35,0.12,0.07,0.1
1718,0.35,0.12,0.07,0.1
1719,0.35,0.12,0.07,0.1
1720,0.35,0.12,0.07,0.1
1721,0.35,0.12,0.07,0.1
1722,0.35,0.12,0.07,0.1
1723,0.35,0.12,0.07,0.1
1724,0.35,0.12,0.07,0.1
1725,0.35,0.12,0.07,0.1
1726,0.35,0.12,0.07,0.1
1727,0.35,0.12,0.07,0.1
1728,0.35,0.12,0.07,0.1
1729,0.35,0.12,0.07,0.1
1730,0.35,0.12,0.07,0.1
1731,0.35,0.12,0.07,0.1
1732,0.35,0.12,0.07,0.1
1733,0.35,0.12,0.07,0.1
1734,0.35,0.12,0.07,0.1
1735,0.35,0.12,0.07,0.1
1736,0.35,0.12,0.07,0.1
1737,0.35,0.12,0.07,0.1
1738,0.35,0.12,0.07,0.1
1739,0.35,0.12,0.07,0.1
1740,0.35,0.12,0.07,0.1
1741,0.35,0.12,0.07,0.1
1742,0.35,0.12,0.07,0.1
1743,0.35,0.12,0.07,0.1
1744,0.35,0.12,0.07,0.1
1745,0.35,0.12,0.07,0.1
1746,0.35,0.12,0.07,0.1
1747,0.35,0.12,0.07,0.1
1748,0.35,0.12,0.07,0.1
1749,0.35,0.12,0.07,0.1
1750,0.35,0.12,0.07,0.1
1751,0.35,0.12,0.07,0.1
1752,0.35,0.12,0.07,0.1
1753,0.35,0.12,0.07,0.1
1754,0.35,0.12,0.07,0.1
1755,0.35,0.12,0.07,0.1
1756,0.35,0.12,0.07,0.1
1757,0.35,0.12,0.07,0.1
1758,0.35,0.12,0.07,0.1
1759,0.35,0.12,0.07,0.1
1760,0.35,0.12,0.07,0.1
1761,0.35,0.12,0.07,0.1
1762,0.35,0.12,0.07,0.1
1763,0.35,0.12,0.07,0.1
1764,0.35,0.12,0.07,0.1
1765,0.35,0.12,0.07,0.1
1766,0.35,0.12,0.07,0.1
1767,0.35,0.12,0.07,0.1
1768,0.35,0.12,0.07,0.1
1769,0.35,0.12,0.07,0.1
1770,0.35,0.12,0.07,0.1
1771,0.35,0.12,0.07,0.1
1772,0.35,0.12,0.07,0.1
1773,0.35,0.12,0.07,0.1
1774,0.35,0.12,0.07,0.1
1775,0.35,0.12,0.07,0.1
1776,0.35,0.12,0.07,0.1
1777,0.35,0.12,0.07,0.1
1778,0.35,0.12,0.07,0.1
1779,0.35,0.12,0.07,0.1
1780,0.35,0.12,0.07,0.1
1781,0.35,0.12,0.07,0.1
1782,0.35,0.12,0.07,0.1
1783,0.35,0.12,0.07,0.1
1784,0.35,0.12,0.07,0.1
1785,0.35,0.12,0.07,0.1
1786,0.35,0.12,0.07,0.1
1787,0.35,0.12,0.07,0.1
1788,0.35,0.12,0.07,0.1
1789,0.35,0.12,0.07,0.1
1790,0.35,0.12,0.07,0.1
1791,0.35,0.12,0.07,0.1
1792,0.35,0.12,0.07,0.1
1793,0.35,0.12,0.07,0.1
1794,0.35,0.12,0.07,0.1
1795,0.35,0.12,0.07,0.1
1796,0.35,0.12,0.07,0.1
1797,0.35,0.12,0.07,0.1
1798,0.35,0.12,0.07,0.1
1799,0.35,0.12,0.07,0.1
1800,0.35,0.12,0.07,0.1
1801,0.35,0.12,0.07,0.1
1802,0.35,0.12,0.07,0.1
1803,0.35,0.12,0.07,0.1
1804,0.35,0.12,0.07,0.1
1805,0.35,0.12,0.07,0.1
1806,0.35,0.12,0.07,0.1
1807,0.35,0.12,0.07,0.1
1808,0.35,0.12,0.07,0.1
1809,0.35,0.12,0.07,0.1
1810,0.35,0.12,0.07,0.1
1811,0.35,0.12,0.07,0.1
1812,0.35,0.12,0.07,0.1
1813,0.35,0.12,0.07,0.1
1814,0.35,0.12,0.07,0.1
1815,0.35,0.12,0.07,0.1
1816,0.35,0.12,0.07,0.1
1817,0.35,0.12,0.07,0.1
1818,0.35,0.12,0.07,0.1
1819,0.35,0.12,0.07,0.1
1820,0.35,0.12,0.07,0.1
1821,0.35,0.12,0.07,0.1
1822,0.35,0.12,0.07,0.1
1823,0.35,0.12,0.07,0.1
1824,0.35,0.12,0.07,0.1
1825,0.35,0.12,0.07,0.1
1826,0.35,0.12,0.07,0.1
1827,0.35,0.12,0.07,0.1
1828,0.35,0.12,0.07,0.1
1829,0.35,0.12,0.07,0.1
1830,0.35,0.12,0.07,0.1
1831,0.35,0.12,0.07,0.1
1832,0.35,0.12,0.07,0.1
1833,0.35,0.12,0.07,0.1
1834,0.35,0.12,0.07,0.1
1835,0.35,0.12,0.07,0.1
1836,0.35,0.12,0.07,0.1
1837,0.35,0.12,0.07,0.1
1838,0.35,0.12,0.07,0.1
1839,0.35,0.12,0.07,0.1
1840,0.35,0.12,0.07,0.1
1841,0.35,0.12,0.07,0.1
1842,0.35,0.12,0.07,0.1
1843,0.35,0.12,0.07,0.1
1844,0.35,0.12,0.07,0.1
1845,0.35,0.12,0.07,0.1
1846,0.35,0.12,0.07,0.1
1847,0.35,0.12,0.07,0.1
1848,0.35,0.12,0.07,0.1
1849,0.35,0.12,0.07,0.1
1850,0.35,0.12,0.07,0.1
1851,0.35,0.12,0.07,0.1
1852,0.35,0.12,0.07,0.1
1853,0.35,0.12,0.07,0.1
1854,0.35,0.12,0.07,0.1
1855,0.35,0.12,0.07,0.1
1856,0.35,0.12,0.07,0.1
1857,0.35,0.12,0.07,0.1
1858,0.35,0.12,0.07,0.1
1859,0.35,0.12,0.07,0.1
1860,0.35,0.12,0.07,0.1
1861,0.35,0.12,0.07,0.1
1862,0.35,0.12,0.07,0.1
1863,0.35,0.12,0.07,0.1
1864,0.35,0.12,0.07,0.1
1865,0.35,0.12,0.07,0.1
1866,0.35,0.12,0.07,0.1
1867,0.35,0.12,0.07,0.1
1868,0.35,0.12,0.07,0.1
1869,0.35,0.12,0.07,0.1
1870,0.35,0.12,0.07,0.1
1871,0.35,0.12,0.07,0.1
1872,0.35,0.12,0.07,0.1
1873,0.35,0.12,0.07,0.1
1874,0.35,0.12,0.07,0.1
1875,0.35,0.12,0.07,0.1
1876,0.35,0.12,0.07,0.1
1877,0.35,0.12,0.07,0.1
1878,0.35,0.12,0.07,0.1
1879,0.35,0.12,0.07,0.1
1880,0.35,0.12,0.07,0.1
1881,0.35,0.12,0.07,0.1
1882,0.35,0.12,0.07,0.1
1883,0.35,0.12,0.07,0.1
1884,0.35,0.12,0.07,0.1
1885,0.35,0.12,0.07,0.1
1886,0.35,0.12,0.07,0.1
1887,0.35,0.12,0.07,0.1
1888,0.35,0.12,0.07,0.1
1889,0.35,0.12,0.07,0.1
1890,0.35,0.12,0.07,0.1
1891,0.35,0.12,0.07,0.1
1892,0.35,0.12,0.07,0.1
1893,0.35,0.12,0.07,0.1
1894,0.35,0.12,0.07,0.1
1895,0.35,0.12,0.07,0.1
1896,0.35,0.12,0.07,0.1
1897,0.35,0.12,0.07,0.1
1898,0.35,0.12,0.07,0.1
1899,0.35,0.12,0.07,0.1
1900,0.35,0.12,0.07,0.1
1901,0.35,0.12,0.07,0.1
1902,0.35,0.12,0.07,0.1
1903,0.35,0.12,0.07,0.1
1904,0.35,0.12,0.07,0.1
1905,0.35,0.12,0.07,0.1
1906,0.35,0.12,0.07,0.1
1907,0.35,0.12,0.07,0.1
1908,0.35,0.12,0.07,0.1
1909,0.35,0.12,0.07,0.1
1910,0.35,0.12,0.07,0.1
1911,0.35,0.12,0.07,0.1
1912,0.35,0.12,0.07,0.1
1913,0.35,0.12,0.07,0.1
1914,0.35,0.12,0.07,0.1
1915,0.35,0.12,0.07,0.1
1916,0.35,0.12,0.07,0.1
1917,0.35,0.12,0.07,0.1
1918,0.35,0.12,0.07,0.1
1919,0.35,0.12,0.07,0.1
1920,0.35,0.12,0.07,0.1
1921,0.35,0.12,0.07,0.1
1922,0.35,0.12,0.07,0.1
1923,0.35,0.12,0.07,0.1
1924,0.35,0.12,0.07,0.1
1925,0.35,0.12,0.07,0.1
1926,0.35,0.12,0.07,0.1
1927,0.35,0.12,0.07,0.1
1928,0.35,0.12,0.07,0.1
1929,0.35,0.12,0.07,0.1
1930,0.35,0.12,0.07,0.1
1931,0.35,0.12,0.07,0.1
1932,0.35,0.12,0.07,0.1
1933,0.35,0.12,0.07,0.1
1934,0.35,0.12,0.07,0.1
1935,0.35,0.12,0.07,0.1
1936,0.35,0.12,0.07,0.1
1937,0.35,0.12,0.07,0.1
1938,0.35,0.12,0.07,0.1
1939,0.35,0.12,0.07,0.1
1940,0.35,0.12,0.07,0.1
1941,0.35,0.12,0.07,0.1
1942,0.35,0.12,0.07,0.1
1943,0.35,0.12,0.07,0.1
1944,0.35,0.12,0.07,0.1
1945,0.35,0.12,0.07,0.1
1946,0.35,0.12,0.07,0.1
1947,0.35,0.12,0.07,0.1
1948,0.35,0.12,0.07,0.1
1949,0.35,0.12,0.07,0.1
1950,0.35,0.12,0.07,0.1
1951,0.35,0.12,0.07,0.1
1952,0.35,0.12,0.07,0.1
1953,0.35,0.12,0.07,0.1
1954,0.35,0.12,0.07,0.1
1955,0.35,0.12,0.07,0.1
1956,0.35,0.12,0.07,0.1
1957,0.35,0.12,0.07,0.1
1958,0.35,0.12,0.07,0.1
1959,0.35,0.12,0.07,0.1
1960,0.35,0.12,0.07,0.1
1961,0.35,0.12,0.07,0.1
1962,0.35,0.12,0.07,0.1
1963,0.35,0.12,0.07,0.1
1964,0.35,0.12,0.07,0.1
1965,0.35,0.12,0.07,0.1
1966,0.35,0.12,0.07,0.1
1967,0.35,0.12,0.07,0.1
1968,0.35,0.12,0.07,0.1
1969,0.35,0.12,0.07,0.1
1970,0.35,0.12,0.07,0.1
1971,0.35,0.12,0.07,0.1
1972,0.35,0.12,0.07,0.1
1973,0.35,0.12,0.07,0.1
1974,0.35,0.12,0.07,0.1
1975,0.35,0.12,0.07,0.1
1976,0.35,0.12,0.07,0.1
1977,0.35,0.12,0.07,0.1
1978,0.35,0.12,0.07,0.1
1979,0.35,0.12,0.07,0.1
1980,0.35,0.12,0.07,0.1
1981,0.35,0.12,0.07,0.1
1982,0.35,0.12,0.07,0.1
1983,0.35,0.12,0.07,0.1
1984,0.35,0.12,0.07,0.1
1985,0.35,0.12,0.07,0.1
1986,0.35,0.12,0.07,0.1
1987,0.35,0.12,0.07,0.1
1988,0.35,0.12,0.07,0.1
1989,0.35,0.12,0.07,0.1
1990,0.35,0.12,0.07,0.1
1991,0.35,0.12,0.07,0.1
1992,0.35,0.12,0.07,0.1
1993,0.35,0.12,0.07,0.1
1994,0.35,0.12,0.07,0.1
1995,0.35,0.12,0.07,0.1
1996,0.35,0.12,0.07,0.1
1997,0.35,0.12,0.07,0.1
1998,0.35,0.12,0.07,0.1
1999,0.35,0.12,0.07,0.1
